Rk,Player,Age,Team,Lg,AB,H,BA_observed
1,James Wood,23,WSN,NL,326,84,0.25766871165644173
2,Taylor Ward,32,BAL,AL,316,81,0.2563291139240506
3,Gunnar Henderson,25,BAL,AL,349,77,0.22063037249283668
4,Nick Kurtz,23,ATH,AL,301,84,0.27906976744186046
5,Alex Bregman,32,CHC,NL,322,77,0.2391304347826087
6,Nico Hoerner,29,CHC,NL,330,80,0.24242424242424243
7,Zach Neto,25,LAA,AL,324,72,0.2222222222222222
8,Michael Busch,28,CHC,NL,301,71,0.23588039867109634
9,Pete Alonso,31,BAL,AL,318,80,0.25157232704402516
10,Julio Rodriguez,25,SEA,AL,336,85,0.25297619047619047
11,Bo Bichette,28,NYM,NL,338,86,0.25443786982248523
12,Yordan Alvarez,29,HOU,AL,302,94,0.31125827814569534
13,Ivan Herrera,26,STL,NL,293,75,0.25597269624573377
14,Pete Crow-Armstrong,24,CHC,NL,317,88,0.277602523659306
15,Bryan Reynolds,31,PIT,NL,301,86,0.2857142857142857
16,Trea Turner,33,PHI,NL,336,78,0.23214285714285715
17,Daylen Lile,23,WSN,NL,326,81,0.24846625766871167
18,Kevin McGonigle,21,DET,AL,302,85,0.2814569536423841
19,Andy Pages,25,LAD,NL,322,86,0.2670807453416149
20,Matt Olson,32,ATL,NL,319,88,0.27586206896551724
21,Sal Stewart,22,CIN,NL,311,79,0.2540192926045016
22,Kyle Schwarber,33,PHI,NL,301,77,0.2558139534883721
23,Jo Adell,27,LAA,AL,330,82,0.24848484848484848
24,Junior Caminero,22,TBR,AL,305,89,0.29180327868852457
25,Freddie Freeman,36,LAD,NL,305,88,0.28852459016393445
26,Brandon Nimmo,33,TEX,AL,317,83,0.2618296529968454
27,Shohei Ohtani,31,LAD,NL,288,85,0.2951388888888889
28,Riley Greene,25,DET,AL,305,87,0.28524590163934427
29,Otto Lopez,27,MIA,NL,328,109,0.3323170731707317
30,Fernando Tatis Jr.,27,SDP,NL,314,89,0.28343949044585987
31,Cody Bellinger,30,NYY,AL,298,78,0.26174496644295303
32,Ozzie Albies,29,ATL,NL,314,86,0.27388535031847133
33,Rafael Devers,29,SFG,NL,321,77,0.2398753894080997
34,Xavier Edwards,26,MIA,NL,305,91,0.2983606557377049
35,Miguel Vargas,26,CHW,AL,294,74,0.25170068027210885
36,Christian Walker,35,HOU,AL,317,76,0.23974763406940064
37,Ian Happ,31,CHC,NL,299,67,0.22408026755852842
38,Bryce Harper,33,PHI,NL,294,81,0.2755102040816326
39,Brice Turang,26,MIL,NL,296,77,0.26013513513513514
40,JJ Wetherholt,23,STL,NL,302,80,0.26490066225165565
41,Bobby Witt Jr.,26,KCR,AL,309,89,0.28802588996763756
42,Jonathan Aranda,28,TBR,AL,290,83,0.28620689655172415
43,Alec Burleson,27,STL,NL,311,87,0.2797427652733119
44,Shea Langeliers,28,ATH,AL,314,84,0.267515923566879
45,Ketel Marte,32,ARI,NL,317,83,0.2618296529968454
46,CJ Abrams,25,WSN,NL,302,83,0.27483443708609273
47,Brandon Lowe,31,PIT,NL,305,74,0.24262295081967214
48,Wilyer Abreu,27,BOS,AL,307,82,0.2671009771986971
49,Luis Arraez,29,SFG,NL,309,100,0.32362459546925565
50,Matt Chapman,33,SFG,NL,299,72,0.2408026755852843
51,Willy Adames,30,SFG,NL,321,74,0.23052959501557632
52,Corbin Carroll,25,ARI,NL,299,83,0.27759197324414714
53,Yandy Diaz,34,TBR,AL,295,99,0.33559322033898303
54,Cole Young,22,SEA,AL,308,78,0.2532467532467532
55,Jakob Marsee,25,MIA,NL,285,56,0.19649122807017544
56,Vladimir Guerrero Jr.,27,TOR,AL,295,79,0.2677966101694915
57,Chase Meidroth,24,CHW,AL,301,83,0.2757475083056478
58,Josh Naylor,29,SEA,AL,308,79,0.2564935064935065
59,Jordan Walker,24,STL,NL,310,90,0.2903225806451613
60,Geraldo Perdomo,26,ARI,NL,277,68,0.24548736462093862
61,Josh Jung,28,TEX,AL,304,89,0.29276315789473684
62,Kazuma Okamoto,30,TOR,AL,298,71,0.23825503355704697
63,Manny Machado,33,SDP,NL,293,55,0.18771331058020477
64,Tyler Soderstrom,24,ATH,AL,289,70,0.2422145328719723
65,Mike Trout,34,LAA,AL,265,62,0.2339622641509434
66,Jackson Merrill,23,SDP,NL,306,65,0.21241830065359477
67,Ben Rice,27,NYY,AL,290,79,0.27241379310344827
68,Willson Contreras,34,BOS,AL,285,80,0.2807017543859649
69,William Contreras,28,MIL,NL,296,89,0.30067567567567566
70,Jarren Duran,29,BOS,AL,305,61,0.2
71,Salvador Perez,36,KCR,AL,310,63,0.2032258064516129
72,Austin Riley,29,ATL,NL,296,62,0.20945945945945946
